ID,Name,maxNum,category
8800,Path of the Retainer,1,Convergence Notes
8801,Path of the Vanguard,1,Convergence Notes
8802,Path of the Marksman,1,Convergence Notes
8803,Path of the Berserker,1,Convergence Notes
8804,Path of the Dreadnought,1,Convergence Notes
8805,Path of the Sellsword,1,Convergence Notes
8806,Path of the Rogue,1,Convergence Notes
8807,Path of the Glint Sorcerer,1,Convergence Notes
8808,Path of the Starcaller,1,Convergence Notes
8809,Path of the Underworld Mage,1,Convergence Notes
8810,Path of the Volcanist,1,Convergence Notes
8811,Path of the Storm Caller,1,Convergence Notes
8812,Path of the Nox Oracle,1,Convergence Notes
8813,Path of the Necromancer,1,Convergence Notes
8814,Path of the Frost Witch,1,Convergence Notes
8815,Path of the Aberrant Heretic,1,Convergence Notes
8816,Path of the Flame Prophet,1,Convergence Notes
8817,Path of the Fundamentalist,1,Convergence Notes
8818,Path of the Bestial Devout,1,Convergence Notes
8819,Path of the Dragon Cultist,1,Convergence Notes
8820,Path of the Godskin Celebrant,1,Convergence Notes
8821,Path of the Frenzied Zealot,1,Convergence Notes
8822,Path of the Blood Initiate,1,Convergence Notes
8823,Path of the Servant of Rot,1,Convergence Notes
8824,Path of the Mystic,1,Convergence Notes
8825,Path of the Perfumer,1,Convergence Notes
8826,Path of the Prisoner,1,Convergence Notes
8870,Weapons for the Retainer,1,Convergence Notes
8871,Weapons for the Vanguard,1,Convergence Notes
8872,Weapons for the Marksman,1,Convergence Notes
8873,Weapons for the Berserker,1,Convergence Notes
8874,Weapons for the Dreadnought,1,Convergence Notes
8875,Weapons for the Sellsword,1,Convergence Notes
8876,Weapons for the Rogue,1,Convergence Notes
8877,Weapons for the Glint Sorcerer,1,Convergence Notes
8878,Weapons for the Starcaller,1,Convergence Notes
8879,Weapons for the Underworld Mage,1,Convergence Notes
8880,Weapons for the Volcanist,1,Convergence Notes
8881,Weapons for the Storm Caller,1,Convergence Notes
8882,Weapons for the Nox Oracle,1,Convergence Notes
8883,Weapons for the Necromancer,1,Convergence Notes
8884,Weapons for the Frost Witch,1,Convergence Notes
8885,Weapons for the Aberrant Heretic,1,Convergence Notes
8886,Weapons for the Flame Prophet,1,Convergence Notes
8887,Weapons for the Fundamentalist,1,Convergence Notes
8888,Weapons for Bestial Devout,1,Convergence Notes
8889,Weapons for the Dragon Cultist,1,Convergence Notes
8890,Weapons for the Godskin Celebrant,1,Convergence Notes
8891,Weapons for the Frenzied Zealot,1,Convergence Notes
8892,Weapons for the Blood Initiate,1,Convergence Notes
8893,Weapons for the Servant of Rot,1,Convergence Notes
8894,Weapons for the Mystic,1,Convergence Notes
