ID,Name,maxNum,category
2950,Remembrance of the Grafted,99,Convergence Remembrances
2951,Remembrance of the Starscourge,99,Convergence Remembrances
2952,Remembrance of the Omen King,99,Convergence Remembrances
2953,Remembrance of the Blasphemous,99,Convergence Remembrances
2954,Remembrance of the Rot Goddess,99,Convergence Remembrances
2955,Remembrance of the Blood Lord,99,Convergence Remembrances
2956,Remembrance of the Black Blade,99,Convergence Remembrances
2957,Remembrance of Hoarah Loux,99,Convergence Remembrances
2958,Remembrance of the Dragonlord,99,Convergence Remembrances
2959,Remembrance of the Full Moon Queen,99,Convergence Remembrances
2960,Remembrance of the Lichdragon,99,Convergence Remembrances
2961,Remembrance of the Fire Giant,99,Convergence Remembrances
2962,Remembrance of the Regal Ancestor,99,Convergence Remembrances
2963,Elden Remembrance,99,Convergence Remembrances
2964,Remembrance of the Naturalborn,99,Convergence Remembrances
2965,Remembrance of the Crucible's Betrayer,99,Convergence Remembrances
2966,Remembrance of the Godskin Matriarch,99,Convergence Remembrances
2967,Remembrance of the Scion of the Sealed God,99,Convergence Remembrances
2968,"Remembrance of Dyru, Scavenger King",99,Convergence Remembrances
2969,"Remembrance of Einar, Ice Guardian",99,Convergence Remembrances
2970,Remembrance of Spiritshaper Caimar,99,Convergence Remembrances
